id,name,birthday
1,エマ・トーマス,1981-02-17
2,クリストファー・ノーラン,1974-11-11
3,レオナルド・ディカプリオ,1974-11-11
4,ジョゼフ・ゴードン＝レヴィット,1981-02-17
5,エレン・ペイジ,1987-02-21
6,トム・ハーディ,1977-09-15
7,渡辺謙,1959-10-21
8,デイヴィッド・ハイマン,1990-04-15
9,クリス・コロンバス,1989-07-23
10,ダニエル・ラドクリフ,1989-07-23
11,エマ・ワトソン,1990-04-15
12,ルパート・グリント,1988-08-24
13,リチャード・ハリス,1930-10-01
14,マギー・スミス,1934-12-28
15,ジェームズ・キャメロン,1975-10-05
16,ケイト・ウィンスレット,1975-10-05
17,ビリー・ゼイン,1966-02-24
18,キャシー・ベイツ,1948-06-28
19,フランシス・フィッシャー,1952-05-11
20,ウェンディ・フィネルマン,1966-04-08
21,ロバート・ゼメキス,1956-07-09
22,トム・ハンクス,1956-07-09
23,ロビン・ライト,1966-04-08
24,ゲイリー・シニーズ,1955-03-17
25,マイケル・コナー・ハンフリー,1985-03-27
26,ヘイリー・ジョエル・オスメント,1988-04-10
27,ジョエル・シルバー,1967-08-21
28,ウォシャウスキー姉弟,1964-09-02
29,キアヌ・リーブス,1964-09-02
30,キャリー＝アン・モス,1967-08-21
31,ローレンス・フィッシュバーン,1961-07-30
32,ヒューゴ・ウィーヴィング,1960-04-04
33,ジョー・パントリアーノ,1951-09-12
34,マシュー・マコノヒー,1969-11-04
35,アン・ハサウェイ,1982-11-12
36,ジェシカ・チャステイン,1977-03-24
37,マイケル・ケイン,1933-03-14
38,ケヴィン・フェイギ,1981-06-13
39,アンソニー・ルッソ、ジョー・ルッソ,1965-04-04
40,ロバート・ダウニー・Jr,1965-04-04
41,クリス・エヴァンス,1981-06-13
42,マーク・ラファロ,1967-11-22
43,クリス・ヘムズワース,1983-08-11
44,スカーレット・ヨハンソン,1984-11-22
45,キャスリーン・ケネディ,1967-02-10
46,スティーヴン・スピルバーグ,1947-09-14
47,サム・ニール,1947-09-14
48,ローラ・ダーン,1967-02-10
49,ジェフ・ゴールドブラム,1952-10-22
50,リチャード・アッテンボロー,1923-08-29
51,ボブ・ペック,1945-11-23
52,ジョーダン・ホロヴィッツ,1988-11-06
53,ダミアン・チャゼル,1980-11-12
54,ライアン・ゴズリング,1980-11-12
55,エマ・ストーン,1988-11-06
56,ジョン・レジェンド,1978-12-28
57,ローズマリー・デウィット,1974-10-26
58,フィニ・ウィトロック,1989-10-08
59,ラルフ・ギューゲンベルト,1953-06-13
60,ジョン・ラセター,1956-07-09
61,ティム・アレン,1953-06-13
62,ドン・リックルズ,1926-05-08
63,ジム・ヴァーニー,1949-06-15
64,ウォーレス・ショーン,1941-10-31
65,アンドリュー・A・コスビー,1942-07-13
66,デニス・ヴィルヌーヴ,1980-11-12
67,ハリソン・フォード,1942-07-13
68,アナ・デ・アルマス,1988-04-30
69,ジャレッド・レト,1971-12-26
70,ジェイソン・T・リード,1963-07-27
71,ニキ・カーロ,1987-08-25
72,リウ・イーフェイ,1987-08-25
73,ドンニー・イェン,1963-07-27
74,ゴン・リ,1975-12-31
75,ジェット・リー,1963-04-26
76,ジェイソン・スコット・リー,1966-11-07
77,スコット・ルーディン,1983-08-20
78,デヴィッド・フィンチャー,1983-10-05
79,ジェシー・アイゼンバーグ,1983-10-05
80,アンドリュー・ガーフィールド,1983-08-20
81,ジャスティン・ティンバーレイク,1981-01-31
82,アーミー・ハマー,1986-08-28
83,マックス・ミンゲラ,1985-09-16
84,マーク・スウィフト,1965-02-07
85,エリック・ダーネル,1965-11-30
86,ベン・スティラー,1965-11-30
87,クリス・ロック,1965-02-07
88,デヴィッド・シュヴィマー,1966-11-02
89,ジャダ・ピンケット・スミス,1971-09-18
90,サシャ・バロン・コーエン,1971-10-13
91,デヴィッド・フランケル,1982-11-12
92,メリル・ストリープ,1949-06-22
93,エミリー・ブラント,1983-02-23
94,スタンリー・トゥッチ,1960-11-11
95,サイモン・ベーカー,1969-07-30
96,チャールズ・ローヴェン,1980-08-26
97,パティ・ジェンキンス,1985-04-30
98,ガル・ガドット,1985-04-30
99,クリス・パイン,1980-08-26
100,ダニー・ヒューストン,1968-05-14
101,デヴィッド・テューリス,1953-02-28
102,ライアン・クーグラー,1976-11-29
103,チャドウィック・ボーズマン,1976-11-29
104,マイケル・B・ジョーダン,1987-02-09
105,ルピタ・ニョンゴ,1983-03-01
106,ダンai・グリラ,1978-02-14
107,マーティン・フリーマン,1971-09-08
108,エドガー・ライト,1959-07-26
109,アンセル・エルゴート,1994-03-14
110,ケヴィン・スペイシー,1959-07-26
111,リリー・ジェームス,1989-04-18
112,エイザ・ゴンザレス,1990-01-30
113,ジョン・ハム,1971-03-10
114,J.J.エイブラムス,1992-04-10
115,デイジー・リドリー,1992-04-10
116,ジョン・ボエガ,1992-03-17
117,オスカー・アイザック,1979-03-09
118,アダム・ドライバー,1983-11-19
119,ブラッドリー・J・フィッシャー,1967-12-13
120,ローランド・エメリッヒ,1980-04-26
121,チャニング・テイタム,1980-04-26
122,ジェイミー・フォックス,1967-12-13
123,マギー・ジレンホール,1977-11-16
124,ジェームズ・ウッズ,1947-04-18
125,リチャード・ジェンキンス,1947-05-04
126,サイモン・キンバーグ,1951-06-02
127,ケネス・ブラナー,1989-04-18
128,キートン・ブランソン,1951-06-02
129,ヘレナ・ボナム・カーター,1966-05-26
130,カテ・ブランシェット,1969-05-14
131,ステラン・スカルスガルド,1971-06-13
